,units_min,units_max,course_number,course_name,course_subject,instructor,quarters
133,3,4,247B,Design for Behavior Change (SYMSYS 195B),CS,"Wodtke, C.",['Winter']
134,3,4,247G,Design for Play (SYMSYS 195G),CS,"Wodtke, C.",['Spring']
135,3,4,247I,Design for Understanding,CS,"Wodtke, C.",['Autumn']
136,3,4,247S,Service Design (SYMSYS 195S),CS,"Stanford, J.",['Winter']
137,3,4,248,Interactive Computer Graphics,CS,"Fatahalian, K.",['Winter']
138,3,3,249I,The Modern Internet,CS,"Durumeric, Z.",['Autumn']
139,3,3,250,Algebraic Error Correcting Codes (EE 387),CS,"Wootters, M.",['Winter']
140,3,3,251,Cryptocurrencies and blockchain technologies,CS,"Boneh, D.",['Autumn']
141,3,3,253,Web Security,CS,"Aboukhadijeh, F.",['Autumn']
142,3,3,254,Computational Complexity,CS,"Tan, L.",['Winter']
143,3,3,254B,Computational Complexity II,CS,"Tan, L.",['Spring']
144,3,3,255,Introduction to Cryptography,CS,"Boneh, D.",['Winter']
145,3,3,259Q,Quantum Computing,CS,"Bouland, A.",['Winter']
146,3,3,261,Optimization and Algorithmic Paradigms,CS,"Goel, A.",['Spring']
147,3,3,265,Randomized Algorithms and Probabilistic Analysis (CME 309),CS,"Valiant, G.",['Winter']
148,3,3,270,Modeling Biomedical Systems (BIOMEDIN 210),CS,"Musen, M.","['Spring', 'Winter']"
149,3,4,271,"Artificial Intelligence in Healthcare (BIODS 220, BIOMEDIN 220)",CS,"Yeung, S.",['Autumn']
150,3,5,272,"Introduction to Biomedical Informatics Research Methodology (BIOE 212, BIOMEDIN 212, GENE 212)",CS,"Altman, R.","['Spring', 'Winter']"
151,3,3,273C,"Cloud Computing for Biology and Healthcare (BIOMEDIN 222, GENE 222)",CS,"Snyder, M.",['Spring']
152,3,4,274,"Representations and Algorithms for Computational Molecular Biology (BIOE 214, BIOMEDIN 214, GENE 214)",CS,"Altman, R.",['Autumn']
153,3,4,275,"Translational Bioinformatics (BIOE 217, BIOMEDIN 217, GENE 217)",CS,"Wall, D.",['Winter']
154,2,4,275A,Symbolic Musical Information (MUSIC 253),CS,"Sapp, C.",['Winter']
155,2,4,275B,Computational Music Analysis (MUSIC 254),CS,"Sapp, C.",['Spring']
156,3,4,278,"Social Computing (SOC 174, SOC 274)",CS,"Wodtke, C.",['Spring']
157,3,3,279,"Computational Biology: Structure and Organization of Biomolecules and Cells (BIOE 279, BIOMEDIN 279, BIOPHYS 279, CME 279)",CS,"Dror, R.",['Autumn']
158,3,4,281,Ethics of Artificial Intelligence,CS,"Guestrin, C.",['Spring']
159,3,3,295,Software Engineering,CS,"Achour, S.",['Winter']
160,1,1,298,Seminar on Teaching Introductory Computer Science (EDUC 298),CS,"Gregg, C.",['Spring']
161,1,1,300,Departmental Lecture Series,CS,"Reingold, O.",['Autumn']
162,3,3,320,Value of Data and AI,CS,"Eglash, S.",['Winter']
163,3,3,322,"Triangulating Intelligence: Melding Neuroscience, Psychology, and AI (PSYCH 225)",CS,"Yamins, D.",['Winter']
164,3,3,324,Understanding and Developing Large Language Models,CS,"Re, C.",['Winter']
